chembl_id,pred_sig_0.1,pred_sig_0.2,pred_sig_0.3,pred_sig_0.4,pred_sig_0.5,pred_sig_0.6,pred_sig_0.7
CHEMBL2106612,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106613,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106614,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2106615,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106618,1.0,1.0,1.0,1.0,1.0,1.0,Undefined
CHEMBL2106619,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106620,1.0,1.0,1.0,1.0,1.0,1.0,Undefined
CHEMBL2106621,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2106622,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL2106624,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2106625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2106626,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106627,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106628,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2106629,1.0,1.0,1.0,1.0,Undefined,Undefined,Undefined
CHEMBL2106630,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106632,1.0,1.0,1.0,1.0,Undefined,Undefined,Undefined
CHEMBL2106634,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2106635,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106636,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2106638,1.0,1.0,1.0,1.0,Undefined,Undefined,Undefined
